config,query,category,alpha_used,top1_score,latency_ms
Visual Only (alpha=1.0),whiteboard discussion on artificial intelligence,visual,1.0,0.2526,836.56
Visual Only (alpha=1.0),security camera footage of incident scene,visual,1.0,0.3112,353.82
Visual Only (alpha=1.0),person wearing black jacket,visual,1.0,0.2639,251.39
Visual Only (alpha=1.0),speaker discussing transformers and neural networks,audio,1.0,0.2784,245.12
Visual Only (alpha=1.0),television shoots for the lowest common denominator,audio,1.0,0.2491,183.48
Visual Only (alpha=1.0),discussion about interest rates and inflation,audio,1.0,0.2472,182.94
Visual Only (alpha=1.0),Show me where Steve Jobs talks about AI,balanced,1.0,0.2909,174.13
Visual Only (alpha=1.0),speaker presenting at podium,balanced,1.0,0.2793,184.07
Audio Only (alpha=0.0),whiteboard discussion on artificial intelligence,visual,0.0,0.2526,173.71
Audio Only (alpha=0.0),security camera footage of incident scene,visual,0.0,0.3112,175.86
Audio Only (alpha=0.0),person wearing black jacket,visual,0.0,0.2639,171.09
Audio Only (alpha=0.0),speaker discussing transformers and neural networks,audio,0.0,0.2784,181.97
Audio Only (alpha=0.0),television shoots for the lowest common denominator,audio,0.0,0.2491,168.85
Audio Only (alpha=0.0),discussion about interest rates and inflation,audio,0.0,0.2472,177.45
Audio Only (alpha=0.0),Show me where Steve Jobs talks about AI,balanced,0.0,0.2909,172.65
Audio Only (alpha=0.0),speaker presenting at podium,balanced,0.0,0.2793,173.4
Static Fusion (alpha=0.5),whiteboard discussion on artificial intelligence,visual,0.5,0.2526,216.08
Static Fusion (alpha=0.5),security camera footage of incident scene,visual,0.5,0.3112,158.92
Static Fusion (alpha=0.5),person wearing black jacket,visual,0.5,0.2639,166.65
Static Fusion (alpha=0.5),speaker discussing transformers and neural networks,audio,0.5,0.2784,411.23
Static Fusion (alpha=0.5),television shoots for the lowest common denominator,audio,0.5,0.2491,184.19
Static Fusion (alpha=0.5),discussion about interest rates and inflation,audio,0.5,0.2472,156.69
Static Fusion (alpha=0.5),Show me where Steve Jobs talks about AI,balanced,0.5,0.2909,156.62
Static Fusion (alpha=0.5),speaker presenting at podium,balanced,0.5,0.2793,175.08
Dynamic Auto-Intent (alpha=auto),whiteboard discussion on artificial intelligence,visual,0.2,0.2526,232.1
Dynamic Auto-Intent (alpha=auto),security camera footage of incident scene,visual,0.8,0.3112,177.52
Dynamic Auto-Intent (alpha=auto),person wearing black jacket,visual,0.8,0.2639,163.84
Dynamic Auto-Intent (alpha=auto),speaker discussing transformers and neural networks,audio,0.2,0.2784,167.52
Dynamic Auto-Intent (alpha=auto),television shoots for the lowest common denominator,audio,0.5,0.2491,184.61
Dynamic Auto-Intent (alpha=auto),discussion about interest rates and inflation,audio,0.2,0.2472,164.31
Dynamic Auto-Intent (alpha=auto),Show me where Steve Jobs talks about AI,balanced,0.2,0.2909,200.31
Dynamic Auto-Intent (alpha=auto),speaker presenting at podium,balanced,0.5,0.2793,175.37
